Winner,title_bout,weight_class,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_BODY_att,B_avg_BODY_landed,B_avg_CLINCH_att,B_avg_CLINCH_landed,B_avg_DISTANCE_att,B_avg_DISTANCE_landed,B_avg_GROUND_att,B_avg_GROUND_landed,B_avg_HEAD_att,B_avg_HEAD_landed,B_avg_KD,B_avg_LEG_att,B_avg_LEG_landed,B_avg_PASS,B_avg_REV,B_avg_SIG_STR_att,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_att,B_avg_TD_landed,B_avg_TD_pct,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_longest_win_streak,B_losses,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_opp_CLINCH_att,B_avg_opp_CLINCH_landed,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_avg_opp_GROUND_att,B_avg_opp_GROUND_landed,B_avg_opp_HEAD_att,B_avg_opp_HEAD_landed,B_avg_opp_KD,B_avg_opp_LEG_att,B_avg_opp_LEG_landed,B_avg_opp_PASS,B_avg_opp_REV,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_landed,B_avg_opp_SIG_STR_pct,B_avg_opp_SUB_ATT,B_avg_opp_TD_att,B_avg_opp_TD_landed,B_avg_opp_TD_pct,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_total_rounds_fought,B_total_time_fought(seconds),B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_BODY_att,R_avg_BODY_landed,R_avg_CLINCH_att,R_avg_CLINCH_landed,R_avg_DISTANCE_att,R_avg_DISTANCE_landed,R_avg_GROUND_att,R_avg_GROUND_landed,R_avg_HEAD_att,R_avg_HEAD_landed,R_avg_KD,R_avg_LEG_att,R_avg_LEG_landed,R_avg_PASS,R_avg_REV,R_avg_SIG_STR_att,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_att,R_avg_TD_landed,R_avg_TD_pct,R_avg_TOTAL_STR_att,R_avg_TOTAL_STR_landed,R_longest_win_streak,R_losses,R_avg_opp_BODY_att,R_avg_opp_BODY_landed,R_avg_opp_CLINCH_att,R_avg_opp_CLINCH_landed,R_avg_opp_DISTANCE_att,R_avg_opp_DISTANCE_landed,R_avg_opp_GROUND_att,R_avg_opp_GROUND_landed,R_avg_opp_HEAD_att,R_avg_opp_HEAD_landed,R_avg_opp_KD,R_avg_opp_LEG_att,R_avg_opp_LEG_landed,R_avg_opp_PASS,R_avg_opp_REV,R_avg_opp_SIG_STR_att,R_avg_opp_SIG_STR_landed,R_avg_opp_SIG_STR_pct,R_avg_opp_SUB_ATT,R_avg_opp_TD_att,R_avg_opp_TD_landed,R_avg_opp_TD_pct,R_avg_opp_TOTAL_STR_att,R_avg_opp_TOTAL_STR_landed,R_total_rounds_fought,R_total_time_fought(seconds),R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age
1,True,,3,1.0,,0.0,5.428571428571429,,12.285714285714285,9.142857142857142,37.857142857142854,,5.142857142857143,3.2857142857142856,45.57142857142857,17.428571428571427,,4.285714285714286,2.5714285714285716,0.2857142857142857,0.0,55.28571428571429,24.142857142857146,0.4542857142857142,0.0,2.4285714285714284,1.0,0.2414285714285714,,,2.0,5.0,,3.571428571428572,12.285714285714285,,31.42857142857143,,2.7142857142857144,1.7142857142857142,38.42857142857143,15.714285714285715,,2.7142857142857144,,0.7142857142857143,,46.42857142857143,21.714285714285715,0.4385714285714286,0.7142857142857143,6.285714285714287,2.2857142857142856,,56.714285714285715,,,488.71428571428567,,0.0,0.0,,2.0,0.0,,,0,182.88,,185.0,1.0,0.0,,,,,12.0,,,,,100.0,,0.0,48.0,,,0.0,157.0,,,0.0,0.0,,0.0,,77.0,,1.0,13.0,,0.0,,88.0,39.0,,0.0,48.0,13.0,,27.0,21.0,,,88.0,,0.44,,0.0,,0.0,91.0,42.0,,692.0,,0.0,,0.0,0.0,0.0,,0.0,0,,200.66,185.0,28.0,
0,False,,3,0.0,,,0.0,,,,4.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,,0.0,0.0,66.0,,,0.0,0.0,0.0,0.0,88.0,16.0,0.0,0.0,1.0,,,0.0,,1.0,0.0,0.0,22.0,0.0,,,0.0,,0.0,39.0,,0.42,0.0,0.0,0.0,,103.0,25.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,170.18,172.72,135.0,,0.0,,12.75,,2.6666666666666665,1.75,,,5.333333333333333,3.0,112.66666666666669,,,,2.0,0.25,,127.75,35.75,0.25666666666666665,0.0,0.8333333333333334,,,130.75,38.75,2.0,,,,3.583333333333333,,112.33333333333331,38.66666666666666,4.666666666666667,2.083333333333333,,26.41666666666667,0.16666666666666666,,,,0.0,120.58333333333331,43.5,0.39333333333333337,0.0,,0.25,,,47.0,29.0,668.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,5.0,,170.18,175.26,135.0,35.0,34.0
0,True,Women's Flyweight,3,0.0,,,21.875,13.0,,,96.75,44.75,10.25,6.375,75.0,,0.375,25.0,,1.25,0.25,,61.375,,0.5,,,0.26,162.25,95.625,2.0,,,12.125,,,70.375,31.625,6.25,,,25.25,0.0,10.625,6.0,,,86.0,43.375,,0.5,1.625,,,104.875,59.75,18.0,,0.0,0.0,0.0,3.0,1.0,,,5.0,,,165.1,125.0,1.0,,,,13.333333333333336,,4.166666666666667,,55.33333333333334,2.1666666666666665,1.6666666666666667,162.16666666666666,37.16666666666666,0.16666666666666666,12.666666666666664,10.666666666666666,0.0,0.0,,61.16666666666666,0.295,,2.1666666666666665,0.0,0.0,210.3333333333333,73.33333333333333,,,15.166666666666664,,6.833333333333332,4.666666666666667,163.5,57.0,,,128.0,31.66666666666667,0.0,,22.5,,0.0,172.0,63.16666666666666,,0.0,3.1666666666666665,1.1666666666666667,,,,18.0,,,0.0,,3.0,,0.0,0.0,4.0,,175.26,,,,
1,True,Light Heavyweight,,1.0,,0.0,,,6.8181818181818175,,,25.90909090909091,,2.0,53.36363636363637,23.272727272727273,,,,,0.18181818181818185,66.63636363636364,,0.5072727272727273,0.3636363636363637,1.2727272727272727,0.3636363636363637,0.09636363636363636,71.45454545454545,37.63636363636363,,4.0,11.545454545454545,9.090909090909092,9.363636363636363,6.454545454545454,55.09090909090909,,,,57.90909090909091,26.45454545454545,,,11.909090909090908,1.0,0.09090909090909093,,47.45454545454545,0.4954545454545455,0.09090909090909093,,,,,80.45454545454545,,,,0.0,,,,,0.0,7.0,0,,193.04,205.0,,0.0,0.0,11.933333333333335,,7.0,3.933333333333333,94.46666666666668,,9.666666666666666,7.2,,,0.6,7.0,,1.1333333333333333,,,44.2,0.38466666666666666,,,1.2,,129.46666666666667,,6.0,5.0,9.466666666666667,,9.466666666666667,,66.66666666666667,28.93333333333333,,3.2666666666666666,,,0.06666666666666668,11.666666666666664,9.066666666666666,0.4666666666666667,,80.26666666666667,38.66666666666666,,0.13333333333333333,,0.4666666666666667,,94.6,51.93333333333333,38.0,660.8666666666667,3.0,,0.0,,5.0,2.0,,10.0,,,200.66,205.0,30.0,32.0
1,True,,3,0.0,3.0,,10.333333333333334,8.333333333333334,6.666666666666668,4.666666666666667,68.33333333333333,26.33333333333333,38.0,,86.66666666666669,40.66666666666666,,,11.333333333333336,1.3333333333333333,0.0,113.0,60.33333333333334,,,1.6666666666666667,,0.25,181.0,,3.0,0.0,1.6666666666666667,0.0,3.333333333333333,,,12.333333333333336,3.333333333333333,3.0,,13.666666666666664,,6.0,4.666666666666667,0.3333333333333333,,,,0.5,,5.666666666666668,,,49.0,29.33333333333333,,,,0.0,,2.0,1.0,0.0,0.0,3.0,0,193.04,198.12,,3.0,0.0,0.0,,7.2727272727272725,11.272727272727273,,36.09090909090909,16.181818181818183,0.8181818181818182,,29.63636363636364,10.727272727272727,0.2727272727272727,9.090909090909092,,0.09090909090909093,,48.18181818181818,26.09090909090909,0.5372727272727272,,1.4545454545454546,0.2727272727272727,0.09090909090909093,53.27272727272727,,3.0,,9.0,6.909090909090909,12.454545454545455,9.909090909090908,,19.454545454545453,1.4545454545454546,0.9090909090909092,44.81818181818182,,0.4545454545454545,5.454545454545454,5.0,,0.0,59.27272727272727,,0.5145454545454545,0.0,2.8181818181818183,0.8181818181818182,,71.81818181818181,42.36363636363637,21.0,455.7272727272728,,0.0,0.0,,3.0,0.0,2.0,,0,185.42,,,,39.0
0,False,,3,,1.0,0.0,2.5,,5.0,,,,3.0,1.0,46.5,,,,2.5,2.5,0.0,53.5,17.0,,,6.0,3.0,0.5,,19.5,1.0,,2.0,2.0,1.0,0.5,27.5,12.0,,,,18.5,0.5,0.5,0.0,0.5,0.0,,20.5,,0.0,,0.5,0.5,53.0,,3.0,310.5,,0.0,0.0,0.0,,,,1.0,0,172.72,172.72,145.0,0.0,,,,0.8,0.2,,,7.6,13.0,,,15.4,0.2,0.2,0.2,3.2,,,16.4,,1.0,,2.4,0.5,43.4,,,1.0,,,2.0,,28.2,9.4,7.0,,27.8,10.0,,,,1.6,0.4,37.2,15.0,0.462,,1.4,0.6,0.1,67.4,42.0,,,0.0,,1.0,1.0,1.0,,,,0,177.8,182.88,,26.0,30.0
1,True,Lightweight,3,0.0,1.0,,7.0,4.2,4.6,,42.8,,,,52.2,14.8,,1.0,0.8,,,60.2,19.8,0.342,,3.0,1.2,0.3,76.0,,,,6.4,4.2,5.2,2.6,30.4,12.6,2.2,,26.6,9.4,,,,,,,,0.378,0.8,,1.4,0.414,,31.8,10.0,558.2,0.0,,0.0,1.0,0.0,,,2.0,0,177.8,,155.0,0.0,2.0,0.0,9.0,,3.6,,60.0,25.4,,6.2,60.2,24.4,0.4,3.2,3.2,,,72.4,,0.4980000000000001,0.2,0.8,,0.132,87.0,,,,7.4,3.8,2.8,1.8,84.4,22.6,7.8,,,22.6,0.2,4.0,,3.4,0.0,95.0,30.2,0.386,0.2,3.8,2.6,0.32,119.6,49.4,,610.8,0.0,0.0,1.0,0.0,,,0.0,3.0,,175.26,177.8,155.0,29.0,
,False,Featherweight,,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,22.0,0.0,0.0,0.0,,,0.0,66.0,,0.5,,0.0,0.0,,88.0,16.0,0.0,,,0.0,,0.0,2.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,39.0,6.0,0.42,0.0,0.0,0.0,,103.0,25.0,,,,0.0,,0.0,,0.0,0.0,,,,182.88,,,,0.0,,5.0,,6.333333333333332,,,,5.333333333333333,,,,23.66666666666667,15.0,0.3333333333333333,,88.0,,,,,0.3333333333333333,,98.0,49.33333333333334,,3.0,20.33333333333333,13.333333333333336,,6.0,100.0,36.333333333333336,20.0,14.333333333333336,103.66666666666669,39.66666666666666,0.3333333333333333,4.0,,,0.0,,56.66666666666666,,1.6666666666666667,,2.0,0.2766666666666667,160.33333333333334,,,681.6666666666666,,,0.0,0.0,0.0,,0.0,0.0,0,165.1,175.26,145.0,,31.0
1,False,Welterweight,3,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,,0.0,0.0,,,0.0,,,,0.0,66.0,18.0,0.5,0.0,,0.0,,,,,0.0,1.0,,0.0,0.0,,,,0.0,,,0.0,,0.0,,0.0,,,,,0.0,,0.0,103.0,,,,0.0,,0.0,,0.0,,,0.0,0,185.42,187.96,170.0,0.0,0.0,,0.0,,,0.0,3.0,1.0,,,32.0,,0.0,,,,0.0,,19.0,0.42,,0.0,0.0,,101.0,41.0,0.0,0.0,,0.0,0.0,,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,1.0,,0.0,0.0,,,,,0.0,900.0,0.0,0.0,,,0.0,,0.0,0.0,,177.8,182.88,170.0,27.0,
,False,Women's Bantamweight,3,1.0,0.0,0.0,26.0,22.2,30.2,24.8,46.6,17.6,,1.2,,,0.0,5.8,5.0,0.0,0.0,78.6,43.6,0.562,0.2,,0.4,0.2280000000000001,,62.4,1.0,3.0,27.0,21.4,28.8,22.6,73.8,31.4,,,83.4,,0.0,7.8,6.2,,0.0,,63.8,,,,2.0,,178.2,115.8,13.0,720.4,0.0,0.0,0.0,2.0,,,0.0,2.0,0,170.18,165.1,135.0,,0.0,,12.0,7.5,7.0,5.0,43.5,15.5,,,30.5,,0.0,8.0,5.5,0.0,0.0,,20.5,0.465,,2.5,0.5,0.125,54.5,24.5,0.0,2.0,14.5,11.0,,,,30.5,29.0,22.5,,40.5,,11.0,,,0.0,108.0,62.0,0.595,0.0,0.5,0.0,,114.0,67.0,,461.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,,177.8,,37.0,37.0
,True,,3,,4.0,0.0,9.666666666666666,,2.0,1.0,53.83333333333334,,6.5,5.333333333333333,46.66666666666666,15.0,,6.0,,,,62.33333333333334,25.16666666666667,,0.3333333333333333,,,,75.66666666666667,,,1.0,7.833333333333332,5.5,7.166666666666668,5.166666666666667,63.66666666666666,,,2.1666666666666665,,,0.16666666666666666,10.666666666666666,,,,,,,,2.5,0.3333333333333333,0.08333333333333333,95.66666666666669,47.0,,656.3333333333334,,0.0,1.0,1.0,1.0,,0.0,5.0,0,182.88,,155.0,0.0,,,,,5.777777777777778,3.4444444444444446,74.8888888888889,29.88888888888889,8.222222222222221,,67.77777777777777,24.555555555555557,0.1111111111111111,13.111111111111107,10.555555555555557,0.8888888888888888,,,40.22222222222222,0.4500000000000001,0.5555555555555556,1.0,,,104.66666666666669,53.88888888888889,3.0,,11.222222222222221,6.8888888888888875,3.5555555555555562,,,22.11111111111111,,,48.33333333333334,,,6.1111111111111125,5.333333333333333,,0.0,,,0.5177777777777778,0.2222222222222222,3.0,,0.20333333333333334,,,22.0,686.8888888888888,0.0,1.0,,,2.0,0.0,0.0,,0,177.8,177.8,,39.0,29.0
